textDisplay,likeCount,remove_user,cleaning,tokenized_Content
Mon maaf padahal iklan kok seru sih???,2.0,Mon maaf padahal iklan kok seru sih???,Mon maaf padahal iklan kok seru sih ,"['""Mon""', '""maaf""', '""padahal""', '""iklan""', '""kok""', '""seru""', '""sih""', '""?""', '""?""', '""?""']"
Animasinya jauh lebih bagus dari png lock😂,2.0,Animasinya jauh lebih bagus dari png lock😂,Animasinya jauh lebih bagus dari png lock ,"['""Animasinya""', '""jauh""', '""lebih""', '""bagus""', '""dari""', '""png""', '""lock😂""']"
いや、いや、なんで日本語やねん。。,0.0,いや、いや、なんで日本語やねん。。, ,"['""いや、いや、なんで日本語やねん。。""']"
Jadi keinget scene anime pesen kopi espresso solo ato dopio. 😂,2.0,Jadi keinget scene anime pesen kopi espresso solo ato dopio. 😂,Jadi keinget scene anime pesen kopi espresso solo ato dopio ,"['""Jadi""', '""keinget""', '""scene""', '""anime""', '""pesen""', '""kopi""', '""espresso""', '""solo""', '""ato""', '""dopio""', '"".""', '""😂""']"
"okay BNI, you&#39;ve won my deposito",0.0,"okay BNI, you&#39;ve won my deposito",okay BNI youve won my deposito,"['""okay""', '""BNI""', '"",""', '""you""', '""&""', '""#""', '""39""', '"";""', '""ve""', '""won""', '""my""', '""deposito""']"
"andai kakekku masih ada, pasti kusuruh pake BNI juga 😁😁",0.0,"andai kakekku masih ada, pasti kusuruh pake BNI juga 😁😁",andai kakekku masih ada pasti kusuruh pake BNI juga ,"['""andai""', '""kakekku""', '""masih""', '""ada""', '"",""', '""pasti""', '""kusuruh""', '""pake""', '""BNI""', '""juga""', '""😁😁""']"
lama lama di jadiin series,0.0,lama lama di jadiin series,lama lama di jadiin series,"['""lama""', '""lama""', '""di""', '""jadiin""', '""series""']"
Reaksi gw:<br><br>✋😐🤚<br>Absolute<br> Cinema,0.0,Reaksi gw:<br><br>✋😐🤚<br>Absolute<br> Cinema,Reaksi gw Absolute Cinema,"['""Reaksi""', '""gw""', '"":""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""✋😐🤚""', '""<""', '""br""', '"">""', '""Absolute""', '""<""', '""br""', '"">""', '""Cinema""']"
We should get more of this!!,1.0,We should get more of this!!,We should get more of this ,"['""We""', '""should""', '""get""', '""more""', '""of""', '""this""', '""!""', '""!""']"
Kapan episode 2 min,0.0,Kapan episode 2 min,Kapan episode min,"['""Kapan""', '""episode""', '""2""', '""min""']"
