publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-17T01:44:05Z,@rifaijuliantoro6085,Sumpah keren banget,0
2024-11-17T01:21:09Z,@babydiablo,Real,0
2024-11-17T01:12:28Z,@Kinangaming191_real-pm3dx,who let BNI (Bank Negara Indonesia) cook☠,2
2024-11-17T00:38:38Z,@zillr.k6956,Tidak hiran jika suatu hari nanti BNI akan mengeluar anime isekai sendiri..,3
2024-11-17T00:11:05Z,@o.h.6946,aku wondr ☝️,0
2024-11-16T23:32:28Z,@RiovanOntjheid,Semua akan anime pada waktunya...,0
2024-11-16T23:21:30Z,@maswasabi,Grafiknya mirip bochi the rock jir,1
2024-11-16T17:34:13Z,@riaasahir,Wkwk BNI lucuukk bgttt.... Lagi dong😭,0
2024-11-16T17:29:36Z,@naradecoco,aku pake wondr,0
2024-11-16T17:28:12Z,@hadyfats,Bro better than kunci biru 🎉,0
2024-11-16T17:16:57Z,@Yudanggaksih,Broo lebih baik daripada bluelock,0
2024-11-16T17:03:41Z,@AmirHaerudin,"Berharap stasiun tv Indonesia ngelirik studio-studio animasi sendiri, buat kerjasama nayangin anime original karya anak bangsa. Ya biar punya anime sendiri. Terbukti iklan ini bagus banget dan diterima dengan baik oleh pecinta anime. Yang terpenting jangan striping! Cerita sebagus apapun kalau striping jadi hancur. Terimakasih BNI.... Semoga jadi series",60
2024-11-16T16:59:26Z,@Naomifuyuru,Di tunggu episode 2 nya 😂😂😂,0
2024-11-16T16:36:03Z,@evrxciang2826,Anjirr ku kira anime dri jpn rupa nya betulan dari BNI dong 🥲 mana seru lagi,0
2024-11-16T16:22:27Z,@blueforserenity,"Mamah aku mau pindah rekening jadi ke bank BNI, ada animeh nya 😭😭😭",1
2024-11-16T16:06:48Z,@riku3060,Salah satu iklan yg gw pantengin sampai selesai😂,0
2024-11-16T15:56:10Z,@agushamsa,KERREN LOH❤😊,0
2024-11-16T15:50:26Z,@widibaka7058,lucu bgt. Ada gak yang versi bahasa indonesia?,1
2024-11-16T15:42:55Z,@ishow24hours45,"W BNI, YG LAIN PAKE AI, KALIAN PAKAI KARYA!! HEBATT",1
2024-11-16T14:58:10Z,@iqbalnurrizkipermana17,Salah satu saudara mengatakan BNI (Bank Nichijou Indonesia) 🔥🔥,1
2024-11-16T14:53:48Z,@CASABLANCA-ks3zu,Wibu jir,0
2024-11-16T14:40:01Z,@NgerangID,asik to be continued😁,3
2024-11-16T14:18:21Z,@SiPalingRandom4905,Up gan,0
2024-11-16T13:43:00Z,@st_septiantito,The real kakek idaman,0
2024-11-16T13:03:55Z,@Tenjou_Yuuya-d9y,S2 kapan rilis 😴,0
2024-11-16T12:53:36Z,@geraldusputra6941,Benjir 😂😂😂,0
2024-11-16T12:50:25Z,@razzzray,Anime bni &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,0
